created_at,text
2019-03-13 11:54:51,Agum yang juga mantan Danjen Kopassus mengaku melakukan pendekatan terhadap mantan anak buahnya yang berada di Tim… https://t.co/yr72HItxs5
2019-03-13 11:54:50,Agum kembali menceritakan hasil dari pemeriksaan tersebut Prabowo terbukti melakukan pelanggaran HAM berat.… https://t.co/nqVKZPuR2n
2019-03-13 11:54:50,"@imanbr kok perangkat hukum negara  cq pemerintahan @jokowi gag ngusut, gag ngelanjutin sidik, gag nangkep ? kok diem ?"
2019-03-13 11:54:48,"RT @kamto_adi: Salah Jokowi lagi 🤣🤣🤣

Proyek KFX/IFX memang tahu masalahnya? 
SU-35 memang tahu masalahnya?

Ta semudah itu menyalahkan pem…"
2019-03-13 11:54:47,"RT @CakKhum: ""Saya lihat ini jurus terakhir aja. Udah enggak punya jurus lagi orang begitu. Kalau orang udah enggak punya jurus ya gigit, a…"
2019-03-13 11:54:46,"RT @jokowi: Keliling pameran furnitur IFEX 2019 di Kemayoran siang ini, saya jadi ingat masa-masa ikut pameran dan menjaga stand sendiri, b…"
2019-03-13 11:54:46,"RT @ekowBoy: Hoax Jokowi, pemerintah lobi Malaysia
= dibantah Mahathir &amp; Wapres JK

Hoax TKN 01, Prabowo marahi rakyat
= dibantah Satgas VV…"
2019-03-13 11:54:46,"RT @antikorupsi: #DuaTahunNovel tidak mendapatkan keadilan. Mau sampai kapan kami menunggu kasus ini selesai?
Usaha sudah kami lakukan,
Sua…"
2019-03-13 11:54:46,"@Takviri Di kubu Jokowi ada : 
1. Hendropriyono
2. Wiranto
3. Luhut BP
3. Gus Yaqult"
2019-03-13 11:54:44,"RT @lebihbaikjokowi: Kenapa bangun infrastruktur, Pak? Kenapa biaya sebesar itu untuk infrastruktur, Pak?

Tanya @C_lontong yang kemudian d…"
2019-03-13 11:54:42,"RT @yusuf_dumdum: @jokowi Ini pak, komplotan tukang hoax ngumpul disini semua. https://t.co/VqaquZo4ZQ"
2019-03-13 11:54:42,"@habibthink emang mantep dah pak @jokowi emang bener bener nyata kerjanya dan program nya , mampu menghubungkan dae… https://t.co/N90MBRckVR"
2019-03-13 11:54:42,@Khoirul_btm @4Y4NKZ @HipHop74934648 @jokowi @ustadtengkuzul @zarazettirazr Yg kodok siapa?
